trust_name,region
University Hospitals Birmingham NHS Foundation Trust,Midlands
University Hospitals Bristol and Weston NHS Foundation Trust,South West
University Hospitals Coventry and Warwickshire NHS Trust,Midlands
University Hospitals Dorset NHS Foundation Trust,South West
University Hospitals of Derby and Burton NHS Foundation Trust,Midlands
University Hospitals of Leicester NHS Trust,Midlands
University Hospitals of Morecambe Bay NHS Foundation Trust,North West
University Hospitals of North Midlands NHS Trust,Midlands
University Hospitals Plymouth NHS Trust,South West
University Hospitals Sussex NHS Foundation Trust,South East
Walsall Healthcare NHS Trust,Midlands
Warrington and Halton Teaching Hospitals NHS Foundation Trust,North West
West Hertfordshire Teaching Hospitals NHS Trust,East of England
West Suffolk NHS Foundation Trust,East of England
Whittington Health NHS Trust,London
Wirral University Teaching Hospital NHS Foundation Trust,North West
Worcestershire Acute Hospitals NHS Trust,Midlands
"Wrightington, Wigan and Leigh NHS Foundation Trust",North West
Wye Valley NHS Trust,Midlands
York and Scarborough Teaching Hospitals NHS Foundation Trust,North East and Yorkshire
